date,place,company_name,budget,status,result,space_flight_name
"Tue Nov 01, 1994 09:31 UTC"," Cape Canaveral SFS, Florida, USA",Boeing,Price: $0.0 million,Status: Retired,Success,Delta II 7925-10 | Wind
"Tue Nov 01, 1994 00:37 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 42P | Astra 1D
"Mon Oct 31, 1994 14:30 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton K/Block-DM-2 | Elektro 1
"Sat Oct 15, 1994 05:05 UTC"," Satish Dhawan Space Centre, India",ISRO,Price: $25.0 million,Status: Retired,Success,PSLV-G | IRS-P2
"Thu Oct 13, 1994 16:18 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton-K/Block DM-2M | Ekspress 1
"Tue Oct 11, 1994 14:30 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Tsyklon-3 | Okean 4
"Sat Oct 08, 1994 01:07 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 44L | Solidaridad-2 & Thaicom-2
"Thu Oct 06, 1994 06:35 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas IIAS | Intelsat 703
"Mon Oct 03, 1994 22:42 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $40.0 million,Status: Retired,Success,Soyuz U2 | Soyuz TM-20
"Fri Sep 30, 1994 11:16 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Endeavour | STS-68
"Tue Sep 27, 1994 14:00 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Cosmos 2292
"Wed Sep 21, 1994 17:53 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton K/Block-DM-2 | Cosmos 2291
"Fri Sep 09, 1994 22:22 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Discovery | STS-64
"Fri Sep 09, 1994 00:29 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 42L | Telstar 402
"Mon Aug 29, 1994 17:38 UTC"," Vandenberg SFB, California, USA",General Dynamics,Price: $0.0 million,Status: Retired,Success,Atlas-E/F Star-37S-ISS | DMSP-5D2 F12 (USA-106)
"Sun Aug 28, 1994 07:50 UTC"," Tanegashima Space Center, Japan",MHI,Price: $0.0 million,Status: Retired,Success,H-II | Kiku 6
"Sat Aug 27, 1994 23:10 UTC"," Xichang Satellite Launch Center, China",CASC,Price: $0.0 million,Status: Retired,Success,Long March 2E | Optus B3
"Sat Aug 27, 1994 08:58 UTC"," Cape Canaveral SFS, Florida, USA",Martin Marietta,Price: $0.0 million,Status: Retired,Success,Titan IV(401)A | Mercury
"Fri Aug 26, 1994 12:00 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $0.0 million,Status: Retired,Success,Zenit-2 | Cosmos 2290
"Thu Aug 25, 1994 14:25 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Retired,Success,Soyuz U | Progress M-24
"Tue Aug 23, 1994 14:30 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Molniya-M /Block ML | Molniya-3 n°161
"Thu Aug 11, 1994 15:27 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,"Proton K/Block-DM-2 | Cosmos 2287, 2288 & 2289"
"Wed Aug 10, 1994 23:05 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 44LP | Brasilsat B1 & Türksat 1B
"Fri Aug 05, 1994 01:12 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Molniya-M /Block 2BL | Cosmos 2286
"Wed Aug 03, 1994 23:57 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas IIA | DirecTV 2 (DBS 2)
